0 0 [array([0, 0, 1, 1]), array([1, 0, 0, 1]), array([0, 2, 0, 1]), array([0, 2, 1, 1]), array([0, 0, 1, 0])]
5 32 [array([0, 0, 1, 0]), array([1, 1, 1, 2]), array([0, 0, 2, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 1])]
5 33 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([0, 0, 1, 0])]
5 34 [array([0, 0, 2, 0]), array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([2, 0, 3, 1])]
5 35 [array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([0, 0, 2, 0]), array([0, 1, 0, 0])]
5 36 [array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
5 37 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([1, 1, 1, 2])]
5 38 [array([2, 0, 0, 3]), array([2, 0, 3, 1]), array([0, 0, 1, 0]), array([1, 1, 0, 0]), array([0, 1, 0, 0])]
5 39 [array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([0, 0, 1, 0])]
5 40 [array([1, 1, 1, 2]), array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([1, 1, 2, 0]), array([0, 1, 0, 0])]
5 41 [array([1, 1, 1, 2]), array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([0, 0, 1, 0])]
5 42 [array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([1, 1, 0, 0])]
5 43 [array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 0, 1, 0])]
5 44 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([2, 0, 1, 2]), array([1, 1, 1, 2])]
5 45 [array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([2, 0, 1, 2]), array([1, 1, 1, 2])]
5 46 [array([2, 0, 1, 2]), array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([1, 1, 0, 1])]
5 47 [array([0, 0, 1, 0]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([2, 0, 1, 2])]
5 48 [array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 0, 1, 0])]
5 49 [array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 1])]
5 50 [array([0, 0, 1, 0]), array([1, 0, 0, 1]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([0, 0, 2, 0])]
5 51 [array([0, 0, 2, 0]), array([1, 0, 0, 1]), array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2])]
5 52 [array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([0, 0, 2, 0])]
5 53 [array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([2, 0, 1, 2])]
5 54 [array([0, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([0, 0, 1, 0]), array([1, 1, 0, 0])]
5 55 [array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([0, 0, 1, 0]), array([2, 0, 1, 2]), array([0, 0, 2, 0])]
5 56 [array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([0, 1, 0, 0])]
5 57 [array([0, 0, 2, 0]), array([2, 0, 1, 2]), array([0, 0, 1, 0]), array([1, 1, 0, 3]), array([2, 0, 3, 1])]
5 58 [array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([1, 1, 0, 0])]
5 59 [array([1, 1, 1, 2]), array([1, 1, 0, 0]), array([0, 2, 2, 0]), array([2, 0, 3, 1]), array([0, 1, 0, 0])]
5 60 [array([0, 1, 0, 0]), array([1, 1, 0, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([0, 0, 2, 0])]
5 61 [array([2, 0, 1, 2]), array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 0, 0])]
5 62 [array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([2, 0, 1, 2])]
5 63 [array([0, 0, 1, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([2, 0, 1, 2])]
5 64 [array([0, 0, 1, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([0, 0, 2, 0])]
5 65 [array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([1, 1, 0, 0])]
5 66 [array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
5 67 [array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([0, 0, 2, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 1])]
5 68 [array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 1])]
5 69 [array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([0, 0, 1, 0])]
5 70 [array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([1, 0, 0, 1]), array([2, 0, 1, 2]), array([0, 1, 0, 0])]
5 71 [array([1, 0, 0, 1]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([2, 0, 1, 2])]
5 72 [array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([2, 0, 1, 2]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
5 73 [array([0, 0, 2, 0]), array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 1])]
5 74 [array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([1, 1, 0, 0])]
5 75 [array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([0, 1, 0, 0])]
5 76 [array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 0, 1])]
5 77 [array([1, 1, 0, 1]), array([0, 0, 1, 0]), array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([1, 0, 0, 1])]
5 78 [array([1, 0, 0, 1]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
5 79 [array([1, 0, 0, 1]), array([1, 1, 1, 2]), array([2, 0, 1, 2]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
5 80 [array([0, 0, 1, 0]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 0, 0, 1])]
5 81 [array([1, 0, 0, 1]), array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([1, 1, 0, 0])]
5 82 [array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([2, 0, 1, 2]), array([0, 0, 2, 0]), array([1, 1, 1, 2])]
5 83 [array([2, 0, 1, 2]), array([1, 1, 1, 2]), array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 1])]
5 84 [array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 0, 1, 0])]
5 85 [array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([2, 0, 3, 1])]
5 86 [array([0, 0, 1, 0]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 1]), array([1, 1, 0, 0])]
5 87 [array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 0])]
5 88 [array([2, 0, 1, 2]), array([0, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([0, 0, 2, 0])]
5 89 [array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([0, 0, 2, 0]), array([1, 1, 0, 0])]
5 90 [array([0, 0, 2, 0]), array([1, 0, 0, 1]), array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2])]
5 91 [array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([1, 1, 0, 0])]
5 92 [array([1, 1, 1, 2]), array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([0, 0, 1, 0])]
5 93 [array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([0, 1, 0, 0])]
5 94 [array([2, 0, 3, 1]), array([0, 0, 1, 0]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 0])]
5 95 [array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
5 96 [array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([0, 0, 1, 0]), array([0, 0, 2, 0])]
5 97 [array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([0, 0, 2, 0]), array([1, 1, 0, 0])]
5 98 [array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2])]
5 99 [array([0, 1, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([2, 0, 3, 1])]
6 0 [array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 1])]
6 1 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([1, 1, 1, 2])]
6 2 [array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 1])]
6 3 [array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
6 4 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
6 5 [array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([2, 0, 1, 2]), array([2, 0, 3, 1])]
6 6 [array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 1])]
6 7 [array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([1, 1, 1, 2])]
6 8 [array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([0, 0, 1, 0])]
6 9 [array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([1, 0, 0, 1])]
6 10 [array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([2, 0, 3, 1]), array([0, 1, 0, 0])]
6 11 [array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([0, 0, 2, 0])]
6 12 [array([0, 0, 1, 0]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 0]), array([2, 0, 3, 1])]
6 13 [array([0, 0, 2, 0]), array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([1, 1, 1, 2])]
6 14 [array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([0, 0, 1, 0])]
6 15 [array([1, 1, 1, 2]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 0])]
6 16 [array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([2, 0, 1, 2]), array([1, 0, 0, 1]), array([0, 1, 0, 0])]
6 17 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([1, 0, 0, 1])]
6 18 [array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([2, 0, 3, 1])]
6 19 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([0, 0, 2, 0]), array([1, 1, 0, 0])]
6 20 [array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 2])]
6 21 [array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 1, 0]), array([1, 1, 0, 0])]
6 22 [array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([0, 0, 1, 0]), array([2, 0, 3, 1])]
6 23 [array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([0, 0, 1, 0])]
6 24 [array([0, 1, 0, 0]), array([0, 1, 1, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([0, 0, 1, 0])]
6 25 [array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([0, 0, 1, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 0])]
6 26 [array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 1, 2])]
6 27 [array([0, 0, 2, 0]), array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([1, 1, 0, 0])]
6 28 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([0, 0, 1, 0])]
6 29 [array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([0, 0, 1, 0]), array([0, 1, 0, 0]), array([0, 0, 2, 0])]
6 30 [array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([0, 0, 2, 0])]
6 31 [array([2, 0, 1, 2]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([0, 1, 0, 0])]
6 32 [array([0, 0, 2, 0]), array([1, 1, 0, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([1, 1, 1, 2])]
6 33 [array([1, 1, 1, 2]), array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([2, 0, 1, 2])]
6 34 [array([1, 1, 0, 0]), array([2, 0, 1, 2]), array([0, 0, 1, 0]), array([1, 1, 1, 2]), array([0, 0, 2, 0])]
6 35 [array([0, 0, 1, 0]), array([0, 0, 2, 0]), array([2, 0, 1, 2]), array([1, 1, 1, 2]), array([1, 1, 0, 0])]
6 36 [array([0, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([1, 1, 0, 0])]
6 37 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([1, 1, 0, 0])]
6 38 [array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([0, 2, 0, 4])]
6 39 [array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2])]
6 40 [array([0, 2, 0, 0]), array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([0, 0, 1, 0])]
6 41 [array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 0]), array([1, 1, 1, 2])]
6 42 [array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 0])]
6 43 [array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([0, 0, 1, 0])]
6 44 [array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([0, 1, 0, 0])]
6 45 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([0, 0, 1, 0]), array([0, 0, 2, 0])]
6 46 [array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
6 47 [array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 1, 0]), array([0, 0, 2, 0])]
6 48 [array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2])]
6 49 [array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([0, 0, 2, 0]), array([0, 1, 0, 0])]
6 50 [array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([0, 1, 0, 0])]
6 51 [array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([2, 0, 1, 2])]
6 52 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([0, 0, 1, 0])]
6 53 [array([0, 1, 0, 0]), array([1, 1, 0, 3]), array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([1, 0, 2, 0])]
6 54 [array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([0, 0, 2, 0]), array([0, 1, 0, 0])]
6 55 [array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 0])]
6 56 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([0, 0, 1, 0])]
6 57 [array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([0, 1, 0, 0])]
6 58 [array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 2])]
6 59 [array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([0, 1, 0, 0]), array([2, 0, 3, 1])]
6 60 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([1, 1, 0, 0])]
6 61 [array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([2, 0, 3, 1])]
6 62 [array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([1, 1, 1, 2])]
6 63 [array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([0, 0, 2, 0])]
6 64 [array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 1, 2]), array([0, 0, 1, 0])]
6 65 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([2, 0, 1, 2]), array([0, 0, 1, 0])]
6 66 [array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 1])]
6 67 [array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([2, 0, 1, 0])]
6 68 [array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 1])]
6 69 [array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([2, 0, 1, 2]), array([1, 1, 1, 2]), array([2, 0, 3, 1])]
6 70 [array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 2]), array([0, 0, 2, 0]), array([0, 1, 0, 0])]
6 71 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 2])]
6 72 [array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([2, 0, 1, 2])]
6 73 [array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 0]), array([1, 1, 1, 2])]
6 74 [array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([1, 1, 1, 2]), array([2, 0, 1, 2])]
6 75 [array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 0])]
6 76 [array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 0]), array([1, 1, 1, 2])]
6 77 [array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([0, 0, 1, 0]), array([1, 1, 1, 2])]
6 78 [array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 2])]
6 79 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 2])]
6 80 [array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([0, 1, 0, 0])]
6 81 [array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([0, 0, 1, 0])]
6 82 [array([2, 0, 3, 1]), array([1, 1, 0, 1]), array([1, 1, 1, 2]), array([1, 1, 0, 0]), array([0, 1, 0, 0])]
6 83 [array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 1])]
6 84 [array([1, 1, 1, 2]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([2, 0, 1, 2]), array([0, 0, 2, 0])]
6 85 [array([0, 0, 2, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([1, 1, 1, 2])]
6 86 [array([1, 1, 0, 1]), array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([2, 0, 1, 2])]
6 87 [array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1])]
6 88 [array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([2, 0, 1, 2]), array([1, 1, 1, 2]), array([1, 1, 0, 1])]
6 89 [array([2, 0, 1, 2]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([2, 0, 2, 1]), array([1, 1, 0, 1])]
6 90 [array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([0, 0, 2, 0])]
6 91 [array([2, 0, 1, 2]), array([1, 1, 1, 2]), array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([0, 1, 0, 0])]
6 92 [array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([0, 1, 0, 0])]
6 93 [array([1, 1, 0, 0]), array([0, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1]), array([2, 0, 3, 1])]
6 94 [array([1, 1, 0, 1]), array([1, 0, 0, 1]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([0, 0, 2, 0])]
6 95 [array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([1, 1, 0, 1])]
6 96 [array([1, 1, 1, 2]), array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([0, 0, 1, 0])]
6 97 [array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 1, 2])]
6 98 [array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([1, 1, 0, 0]), array([1, 1, 1, 2])]
6 99 [array([0, 0, 1, 0]), array([2, 0, 1, 2]), array([0, 2, 3, 1]), array([0, 1, 0, 0]), array([1, 1, 1, 2])]
7 0 [array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 1])]
7 1 [array([0, 1, 0, 0]), array([0, 0, 2, 0]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([1, 1, 1, 2])]
7 2 [array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 1])]
7 3 [array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
7 4 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 1, 2]), array([2, 0, 3, 1]), array([0, 0, 2, 0])]
7 5 [array([0, 0, 2, 0]), array([1, 1, 0, 1]), array([0, 1, 0, 0]), array([2, 0, 1, 2]), array([2, 0, 3, 1])]
7 6 [array([2, 0, 3, 1]), array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([0, 0, 1, 0]), array([1, 1, 0, 1])]
7 7 [array([0, 0, 2, 0]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([1, 1, 1, 2])]
7 8 [array([0, 0, 1, 0]), array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([2, 0, 1, 2]), array([1, 1, 0, 1])]
7 9 [array([0, 1, 0, 0]), array([2, 0, 3, 1]), array([2, 0, 1, 2]), array([1, 1, 0, 1]), array([0, 0, 1, 0])]
7 10 [array([1, 1, 0, 0]), array([2, 0, 3, 1]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 1, 2])]
7 11 [array([0, 2, 3, 1]), array([0, 2, 1, 3]), array([1, 1, 0, 1]), array([0, 0, 1, 0]), array([0, 0, 2, 0])]
7 12 [array([1, 1, 1, 2]), array([2, 0, 3, 1]), array([1, 1, 0, 0]), array([0, 0, 2, 0]), array([1, 1, 0, 1])]
7 13 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 3, 1]), array([2, 0, 1, 2]), array([1, 1, 1, 2])]
7 14 [array([1, 1, 0, 0]), array([1, 1, 1, 2]), array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 3, 1])]
